Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,61.330002,61.470001,60.700001,60.980000,59.522972,1119600
2022-12-28,61.220001,61.639999,60.630001,60.700001,59.249657,1015100
2022-12-29,61.270000,62.119999,61.220001,61.869999,60.391705,920200
2022-12-30,61.400002,61.560001,60.740002,61.349998,59.884125,1187900
2023-01-03,61.529999,61.860001,61.049999,61.759998,60.284332,1596000
2023-01-04,62.230000,62.660000,61.369999,61.650002,60.176960,2093300
2023-01-05,61.220001,61.369999,60.119999,60.240002,58.800652,1724300
2023-01-06,60.900002,61.810001,60.509998,61.650002,60.176960,1536000
2023-01-09,61.930000,63.209999,61.759998,62.610001,61.114021,2466400
2023-01-10,62.480000,63.080002,62.230000,62.540001,61.045700,1291100
2023-01-11,62.730000,63.340000,62.730000,63.020000,61.514225,2482400
2023-01-12,63.160000,63.250000,62.180000,62.990002,61.484940,2558000
2023-01-13,62.419998,63.669998,62.320000,63.349998,61.836338,2882000
2023-01-17,63.150002,63.720001,62.840000,63.369999,61.855862,2909300
2023-01-18,63.450001,63.900002,62.709999,62.799999,61.299477,3289400
2023-01-19,62.169998,62.520000,60.950001,61.000000,59.542492,1617000
2023-01-20,61.000000,62.119999,60.639999,62.060001,60.577164,2766500
2023-01-23,61.910000,62.790001,61.529999,62.320000,60.830948,2227100
2023-01-24,62.419998,62.509998,61.759998,61.919998,60.440506,3403100
2023-01-25,58.950001,58.950001,55.900002,58.299999,56.907001,8213100
2023-01-26,57.880001,60.169998,57.490002,60.110001,58.673752,4697700
2023-01-27,59.810001,60.669998,59.619999,60.500000,59.054440,3123600
2023-01-30,60.480000,60.619999,59.320000,59.650002,58.224751,2268300
2023-01-31,59.849998,60.189999,59.369999,60.189999,58.751846,2587000
2023-02-01,60.189999,60.349998,58.970001,59.500000,58.078331,2492900
2023-02-02,59.740002,60.650002,59.639999,60.570000,59.122757,2331000
2023-02-03,59.900002,60.990002,59.830002,60.549999,59.103237,1639100
2023-02-06,60.029999,60.279999,59.209999,59.299999,57.883110,1490700
2023-02-07,59.299999,60.189999,58.700001,59.950001,58.517578,2477900
2023-02-08,59.799999,60.090000,59.439999,59.639999,58.214985,1851800
2023-02-09,59.840000,59.990002,58.779999,58.980000,57.570755,1590400
2023-02-10,58.599998,59.650002,58.509998,59.619999,58.195465,2041000
2023-02-13,59.889999,60.139999,59.160000,59.590000,58.166180,1974500
2023-02-14,59.540001,59.970001,58.430000,58.619999,57.219360,1870300
2023-02-15,58.310001,59.220001,58.270000,59.160000,57.746456,1732800
2023-02-16,58.869999,59.099998,58.380001,58.439999,57.043659,1167300
2023-02-17,58.250000,58.639999,58.080002,58.560001,57.160786,1148300
2023-02-21,57.930000,58.020000,56.509998,56.779999,55.423321,3089000
2023-02-22,56.959999,57.230000,56.540001,57.099998,55.735676,2670100
2023-02-23,57.240002,57.529999,56.570000,57.200001,55.833286,1909400
2023-02-24,56.840000,57.119999,56.580002,57.049999,55.686867,1160600
2023-02-27,57.610001,57.750000,56.340000,56.349998,55.003593,1328800
2023-02-28,56.389999,56.480000,55.980000,56.060001,54.720524,3278200
2023-03-01,55.790001,56.250000,55.410000,55.549999,54.222706,2272500
2023-03-02,55.090000,56.110001,55.060001,56.000000,54.661957,2043400
2023-03-03,56.250000,56.330002,55.799999,56.220001,54.876701,2373700
2023-03-06,56.340000,56.709999,55.959999,56.070000,54.730286,2277600
2023-03-07,55.959999,56.220001,54.950001,55.009998,53.695610,1914500
2023-03-08,55.000000,55.400002,54.820000,55.130001,53.812744,1859000
2023-03-09,55.250000,55.389999,54.090000,54.320000,53.022099,2524600
2023-03-10,53.900002,53.900002,52.200001,52.599998,51.343193,3462200
2023-03-13,52.459999,53.029999,51.930000,51.970001,50.728249,3742400
2023-03-14,53.220001,53.639999,52.439999,52.759998,51.499367,2754700
2023-03-15,51.689999,52.459999,51.459999,51.910000,50.669682,2629800
2023-03-16,51.470001,53.549999,51.099998,53.110001,52.041519,2856700
2023-03-17,53.189999,53.849998,52.150002,52.750000,51.688763,5554900
2023-03-20,52.669998,53.220001,52.540001,52.919998,51.855335,2829100
2023-03-21,53.689999,54.279999,53.349998,54.009998,52.923409,2606900
2023-03-22,54.009998,54.430000,52.930000,52.939999,51.874935,2309300
2023-03-23,52.820000,53.099998,52.119999,52.490002,51.433990,2829100
2023-03-24,52.049999,53.070000,52.000000,53.070000,52.002323,2892500
2023-03-27,53.610001,53.700001,53.119999,53.250000,52.178703,1329900
2023-03-28,53.000000,53.240002,52.630001,52.939999,51.874935,2570200
2023-03-29,53.470001,54.279999,53.349998,54.090000,53.001801,2123400
2023-03-30,54.320000,54.790001,53.950001,54.029999,52.943008,2599600
2023-03-31,54.369999,54.700001,54.029999,54.669998,53.570129,2895700
2023-04-03,54.369999,54.599998,54.029999,54.400002,53.305565,3159100
2023-04-04,54.430000,54.939999,54.240002,54.700001,53.599533,2515800
2023-04-05,54.660000,55.090000,54.299999,54.560001,53.462345,2933300
2023-04-06,54.630001,55.040001,54.369999,54.900002,53.795506,2440100
2023-04-10,54.439999,54.720001,53.980000,54.380001,53.285973,1641200
2023-04-11,54.380001,54.700001,54.099998,54.349998,53.256569,2566700
2023-04-12,54.770000,55.380001,54.680000,54.889999,53.785709,2942200
2023-04-13,54.889999,55.650002,54.669998,55.560001,54.442230,3513800
2023-04-14,55.500000,55.599998,54.880001,55.160000,54.050274,6008200
2023-04-17,54.869999,55.900002,54.860001,55.770000,54.647999,3195600
2023-04-18,55.730000,56.209999,55.509998,55.610001,54.491219,3626400
2023-04-19,57.000000,57.990002,56.830002,57.360001,56.206020,5782900
2023-04-20,57.380001,57.400002,56.060001,56.490002,55.353519,3453900
2023-04-21,56.340000,57.000000,56.119999,56.970001,55.823860,3163900
2023-04-24,57.090000,57.209999,56.189999,56.580002,55.441708,1775400
2023-04-25,56.299999,56.430000,55.209999,55.270000,54.158066,2103900
2023-04-26,54.939999,55.279999,53.849998,54.130001,53.040993,2077000
2023-04-27,54.240002,54.930000,54.020000,54.820000,53.717113,1591600
2023-04-28,54.630001,55.410000,54.540001,55.369999,54.256050,2267800
2023-05-01,55.240002,55.410000,54.910000,55.049999,53.942490,1237700
2023-05-02,54.689999,54.810001,53.410000,54.270000,53.178181,1745700
2023-05-03,54.459999,54.849998,53.509998,53.560001,52.482464,1609100
2023-05-04,53.529999,53.980000,53.380001,53.790001,52.707836,1615800
2023-05-05,54.290001,55.000000,54.230000,54.919998,53.815105,1978600
2023-05-08,55.000000,55.139999,54.639999,54.919998,53.815105,1906100
2023-05-09,54.669998,55.070000,54.549999,54.560001,53.462345,1040300
